;Medellin;Barranquilla;Cartagena;Monteria ;Bogota;Neiva;Santa Marta;Armenia;Pereira;Cali;
Medellin;0;531.64;461.4;279.85;245.53;371.1;574.85;191.53;160.68;330.77;
Barranquilla;531.64;0;102.1;274.84;711.48;896.13;69.61;722.56;692.01;859.73;
Cartagena;461.4;102.1;0;188.08;663.1;831.55;170.79;652.71;621.7;782.79;
Monteria;279.85;274.84;188.08;0;501.38;650.82;332.61;469.25;438.13;595.39;
Bogota;245.53;711.48;663.1;501.38;0;229.7;738.00;177.53;180.39;299.72;
Neiva;371.1;896.13;831.55;650.82;229.7;0;932.55;184.11;214.76;147.62;
Santa Marta;574.85;69.61;170.79;332.61;738.00;932.55;0;763.72;733.73;905.2;
Armenia;191.53;722.56;652.71;469.25;177.53;184.11;763.72;0;31.13;153.33;
Pereira;160.68;692.01;621.7;438.13;180.39;214.76;733.73;31.13;0;178.29;
Cali;330.77;859.73;782.79;595.39;299.72;147.62;905.2;153.33;178.29;0;
